Seller,Name,Family,Count,Price,LastingDays
Granthem,Pyrenulaceae,Cactaceae,74,4,6
Violet,Fabaceae,Fabaceae,101,7,7
Guinna,Fabaceae,Scrophulariaceae,75,7,8
Atlante,Capparaceae,Brassicaceae,147,6,7
Milissent,Poaceae,Portulacaceae,72,5,7
Christoper,Cuscutaceae,Cyperaceae,80,6,8
Demott,Bignoniaceae,Poaceae,72,2,5
Felecia,Asteraceae,Asteraceae,147,8,4
Kaila,Cactaceae,Caryophyllaceae,130,1,4
Gunter,Brassicaceae,Fabaceae,145,3,6
Jecho,Scrophulariaceae,Chenopodiaceae,123,8,8
Grove,Fabaceae,Scrophulariaceae,111,5,4
Guy,Euphorbiaceae,Convolvulaceae,84,4,8
Orazio,Orchidaceae,Brassicaceae,85,4,5
Faith,Asteraceae,Capparaceae,144,4,7
Korrie,Asteraceae,Liliaceae,133,3,4
Maureene,Polygonaceae,Chenopodiaceae,148,3,6
Ardyce,Asteraceae,Nyctaginaceae,112,3,6
Lainey,Poaceae,Gentianaceae,109,4,5
Vidovik,Polemoniaceae,Fagaceae,136,3,6
Gian,Cactaceae,Rosaceae,108,4,8
Karina,Polygalaceae,Asteraceae,111,6,8
Lisabeth,Sapindaceae,Ericaceae,125,9,7
Evonne,Linaceae,Erpodiaceae,90,1,9
Risa,Orchidaceae,Fabaceae,129,6,9
Honey,Asteraceae,Poaceae,82,9,8
Nikola,Polemoniaceae,Polemoniaceae,149,6,8
De,Polygonaceae,Brassicaceae,104,6,9
Peria,Fabaceae,Poaceae,70,9,5
Wandis,Asteraceae,Thelypteridaceae,133,7,5
Garrott,Asteraceae,Fabaceae,97,6,4
Sarge,Poaceae,Agavaceae,75,3,7
Karlik,Poaceae,Fabaceae,72,3,5
Desiri,Fabaceae,Rosaceae,94,9,8
Jolyn,Pteridaceae,Onagraceae,143,4,6
Frazier,Caryophyllaceae,Pandanaceae,80,7,6
Byram,Onagraceae,Asteraceae,93,2,6
Marisa,Orobanchaceae,Orobanchaceae,145,1,4
Robbyn,Asteraceae,Verbenaceae,73,3,8
Prudence,Saxifragaceae,Rubiaceae,139,8,7
Winne,Rubiaceae,Cyperaceae,75,7,9
Celene,Crassulaceae,Boraginaceae,129,1,9
Jody,Amblystegiaceae,Saxifragaceae,100,6,5
Benoite,Linaceae,Cactaceae,95,8,8
Nealson,Fabaceae,Euphorbiaceae,118,9,9
Ambrosius,Hydrophyllaceae,Aquifoliaceae,99,8,9
Jaye,Bignoniaceae,Capparaceae,98,6,4
Pinchas,Fagaceae,Lentibulariaceae,102,7,4
Sherwin,Asteraceae,Cyperaceae,149,7,6
Jesselyn,Poaceae,Euphorbiaceae,144,9,8
Darcie,Fabaceae,Urticaceae,104,7,8
Marve,Boraginaceae,Apiaceae,91,7,9
Corrie,Poaceae,Crossosomataceae,135,5,7
Katalin,Hymenophyllaceae,Celastraceae,92,9,9
Rhona,Loganiaceae,Physciaceae,105,2,7
Berti,Marantaceae,Polemoniaceae,91,3,9
Cody,Ophioglossaceae,Cyperaceae,93,9,8
Odessa,Pinaceae,Malvaceae,131,7,6
Aurel,Cyperaceae,Campanulaceae,132,1,8
Audy,Brassicaceae,Asclepiadaceae,139,8,5
Gardie,Poaceae,Malvaceae,86,7,7
Adolf,Asteraceae,Asteraceae,93,5,8
Claybourne,Liliaceae,Liliaceae,95,4,7
Andrus,Verrucariaceae,Fabaceae,94,7,7
Brod,Asteraceae,Rosaceae,146,8,5
Gunter,Clusiaceae,Rubiaceae,90,7,7
Dorree,Asteraceae,Fumariaceae,112,4,4
Ruby,Poaceae,Rosaceae,83,2,9
Darnall,Capparaceae,Fabaceae,83,4,9
Evangelin,Poaceae,Euphorbiaceae,123,1,7
Sigismondo,Brassicaceae,Nyctaginaceae,136,9,9
Rosene,Malvaceae,Ranunculaceae,150,2,8
Meredeth,Uncertain Ascomycota Family,Fabaceae,80,7,9
Gil,Begoniaceae,Cyperaceae,144,3,6
Rockie,Tiliaceae,Asteraceae,117,4,9
Hendrik,Caryophyllaceae,Poaceae,113,4,4
Pen,Poaceae,Asteraceae,109,4,7
Ellwood,Asteraceae,Eriocaulaceae,129,3,5
Elvin,Fabaceae,Cyperaceae,81,6,9
Ewell,Melastomataceae,Campanulaceae,124,8,6
Chelsea,Rosaceae,Lichinaceae,119,6,6
Fabio,Liliaceae,Liliaceae,96,2,8
Lammond,Verbenaceae,Rosaceae,127,5,9
Delinda,Brassicaceae,Brachytheciaceae,123,1,5
Willi,Hydrophyllaceae,Physciaceae,97,9,5
Brigit,Xyridaceae,Chenopodiaceae,115,5,4
Earl,Asteraceae,Asteraceae,107,1,8
Tiebold,Brassicaceae,Myrtaceae,95,8,6
Herbert,Polemoniaceae,Crassulaceae,149,2,8
Jorrie,Fumariaceae,Amaranthaceae,147,3,7
Stan,Rosaceae,Asteraceae,75,4,4
Tremaine,Euphorbiaceae,Asteraceae,96,9,6
Trefor,Boraginaceae,Araceae,148,7,4
Becky,Verrucariaceae,Acanthaceae,121,1,8
Peirce,Asteraceae,Brassicaceae,87,6,5
Denna,Campanulaceae,Bromeliaceae,79,8,8
Jobie,Asteraceae,Pteridaceae,85,5,9
Grayce,Asteraceae,Rosaceae,121,1,4
Renaldo,Buddlejaceae,Asteraceae,72,5,8
Shurlock,Gyalectaceae,Leucodontaceae,124,7,4
Jessie,Rubiaceae,Celastraceae,144,1,4
Mikey,Turneraceae,Polemoniaceae,93,2,5
Valery,Asteraceae,Cyperaceae,117,8,7
Irv,Callitrichaceae,Fabaceae,73,9,4
Kelley,Euphorbiaceae,Sphagnaceae,121,1,4
Durante,Fagaceae,Fabaceae,86,4,9
Scotti,Poaceae,Callitrichaceae,115,2,5
Maxie,Asclepiadaceae,Thelotremataceae,95,6,9
Shoshana,Fabaceae,Ranunculaceae,89,7,5
Violante,Fabaceae,Brassicaceae,104,6,4
Mindy,Hymenophyllaceae,Dryopteridaceae,90,4,8
Norean,Brassicaceae,Fabaceae,115,6,9
Hobard,Araceae,Cucurbitaceae,104,1,7
Chaunce,Saxifragaceae,Polygonaceae,128,4,5
Crin,Polygonaceae,Asteraceae,124,1,4
Isabel,Cactaceae,Annonaceae,115,4,6
Moore,Melastomataceae,Caprifoliaceae,91,5,8
Vin,Rosaceae,Clusiaceae,143,3,7
Coreen,Rosaceae,Poaceae,76,7,4
Morly,Poaceae,Scrophulariaceae,124,8,8
Reynolds,Hymenophyllaceae,Lamiaceae,116,9,7
Brody,Asteraceae,Caryophyllaceae,136,8,8
Durand,Physciaceae,Araceae,75,2,8
Marlo,Fabaceae,Parmeliaceae,102,7,5
Daven,Rosaceae,Caprifoliaceae,133,1,4
Cesya,Asteraceae,Uncertain Ascomycota Family,73,4,4
Brigit,Poaceae,Cyperaceae,102,4,6
Guinna,Cistaceae,Poaceae,119,5,4
Wait,Cladoniaceae,Lobariaceae,84,3,7
Verney,Asclepiadaceae,Asteraceae,108,4,6
Gabriele,Poaceae,Brassicaceae,82,8,7
Nadiya,Parmeliaceae,Lamiaceae,141,3,9
Ashly,Poaceae,Physciaceae,130,3,4
Isidor,Apiaceae,Cyatheaceae,94,8,8
Peter,Asteraceae,Polygonaceae,149,3,8
Emlynne,Fabaceae,Fabaceae,149,5,4
Edyth,Polemoniaceae,Cactaceae,126,2,7
Bary,Lythraceae,Poaceae,146,1,5
Galven,Brassicaceae,Saxifragaceae,123,3,9
Tomas,Poaceae,Fagaceae,144,5,4
Killian,Fabaceae,Euphorbiaceae,103,7,4
Lonni,Asteraceae,Hippocastanaceae,136,1,9
Cecelia,Polemoniaceae,Iridaceae,108,6,9
Neils,Caryophyllaceae,Primulaceae,94,1,9
Aguste,Saxifragaceae,Rosaceae,89,3,6
Betty,Ericaceae,Cactaceae,133,6,4
Francois,Thamnobryaceae,Chenopodiaceae,92,7,5
Gretal,Asteraceae,Amaranthaceae,150,2,5
Stephanie,Malvaceae,Bacidiaceae,93,4,5
Alberta,Asteraceae,Asteraceae,96,3,7
Merlina,Rutaceae,Rutaceae,136,5,5
Ursola,Pottiaceae,Fabaceae,146,2,9
Horten,Hymenophyllaceae,Asteraceae,134,5,6
Tibold,Capparaceae,Orchidaceae,104,9,9
Ivette,Lycopodiaceae,Fabaceae,109,9,9
Aubine,Rosaceae,Oleaceae,136,9,8
Artus,Boraginaceae,Boraginaceae,100,7,8
Quinton,Solanaceae,Asteraceae,105,1,7
Willyt,Sapindaceae,Fabaceae,73,7,9
Florri,Asteraceae,Bryaceae,146,2,6
Elladine,Fabaceae,Mycocaliciaceae,87,1,4
Gladi,Rosaceae,Asteraceae,145,7,8
Letti,Asteraceae,Campanulaceae,143,7,9
Olva,Convolvulaceae,Liliaceae,118,2,6
Gretel,Verbenaceae,Hydrophyllaceae,127,6,5
Shara,Polygonaceae,Costaceae,84,5,9
Phillip,Poaceae,Gentianaceae,109,6,8
Florencia,Fabaceae,Rutaceae,111,5,6
Eugine,Crassulaceae,Fabaceae,149,4,5
Kit,Myrtaceae,Lamiaceae,72,6,9
Brigg,Blechnaceae,Gentianaceae,139,4,8
Theodora,Asteraceae,Flacourtiaceae,76,6,5
Roanne,Fabaceae,Fabaceae,111,4,5
Erasmus,Phytolaccaceae,Crossosomataceae,136,7,9
Gerianne,Crassulaceae,Asteraceae,129,9,6
Jordan,Eriocaulaceae,Pteridaceae,140,6,8
Shay,Fabaceae,Isoetaceae,88,6,4
Tildi,Poaceae,Sarraceniaceae,129,7,5
Wally,Araceae,Peltigeraceae,119,1,9
Yance,Fabaceae,Asteraceae,132,5,7
Marchall,Asteraceae,Poaceae,99,6,9
Fionnula,Cupressaceae,Boraginaceae,125,7,4
Elbert,Asteraceae,Fabaceae,141,2,6
Viva,Convolvulaceae,Polygonaceae,110,1,6
Torrey,Asteraceae,Lamiaceae,123,1,9
Shandra,Poaceae,Ericaceae,149,4,6
Amelina,Fabaceae,Cyperaceae,102,9,7
Felicdad,Rosaceae,Asteraceae,87,9,9
Mandi,Thelotremataceae,Rosaceae,141,7,8
Lamont,Bacidiaceae,Violaceae,85,7,8
Claudian,Brassicaceae,Burseraceae,71,9,9
Kaycee,Asteraceae,Asteraceae,111,4,7
Maxie,Myrtaceae,Asteraceae,82,4,4
Darren,Polygonaceae,Dryopteridaceae,72,6,7
Tallia,Bombacaceae,Asteraceae,142,6,6
Rickey,Tamaricaceae,Valerianaceae,132,9,4
Turner,Fabaceae,Myrtaceae,144,8,4
Townsend,Pottiaceae,Asteraceae,147,1,4
Michail,Fabaceae,Fabaceae,119,6,8
Josie,Lichinaceae,Lycopodiaceae,107,3,7
Chadd,Dryopteridaceae,Bryaceae,82,9,4
Christi,Placynthiaceae,Buxaceae,107,6,6
Tilly,Poaceae,Poaceae,140,7,7
Cari,Asteraceae,Polygonaceae,146,1,7
Chip,Fabaceae,Verbenaceae,102,1,5
Haroun,Fabaceae,Arecaceae,77,6,5
Billie,Portulacaceae,Poaceae,79,3,5
Gearard,Asteraceae,Grimmiaceae,88,3,9
Darice,Euphorbiaceae,Brassicaceae,73,7,4
Izak,Cunoniaceae,Xyridaceae,102,8,4
Melany,Clusiaceae,Lythraceae,128,3,6
Asa,Lecanoraceae,Apiaceae,74,7,6
Lanie,Fabaceae,Poaceae,149,2,6
Alexi,Asteraceae,Asteraceae,130,9,9
Celestine,Liliaceae,Burmanniaceae,71,2,5
Dani,Poaceae,Solanaceae,137,2,7
Hartley,Meliaceae,Asteraceae,114,8,4
Sasha,Asteraceae,Asteraceae,148,9,7
Bard,Flacourtiaceae,Caryophyllaceae,78,3,9
Clive,Malvaceae,Fabaceae,106,8,5
Honor,Aizoaceae,Asteraceae,75,3,5
Valentino,Gentianaceae,Isoetaceae,100,2,7
Paulette,Asteraceae,Asteraceae,96,9,8
Skippie,Chenopodiaceae,Scrophulariaceae,135,7,9
Seka,Asteraceae,Poaceae,108,6,8
Sigismondo,Iridaceae,Fabaceae,86,7,8
Dacey,Asteraceae,Porpidiaceae,130,5,5
Mavra,Euphorbiaceae,Euphorbiaceae,90,1,5
Issie,Polytrichaceae,Poaceae,142,1,9
Rowe,Ranunculaceae,Orchidaceae,142,6,8
Issie,Fabaceae,Parmeliaceae,83,4,9
Gerry,Ophioglossaceae,Salicaceae,118,7,7
Gabriella,Orchidaceae,Onagraceae,80,1,4
Brigg,Scrophulariaceae,Viscaceae,86,9,7
Imogene,Asteraceae,Cistaceae,133,8,7
Marguerite,Dryopteridaceae,Euphorbiaceae,118,6,7
Mathilda,Chenopodiaceae,Poaceae,133,4,6
Sax,Physciaceae,Araceae,88,7,4
Rudolfo,Primulaceae,Polygonaceae,108,6,8
Lizzy,Poaceae,Aristolochiaceae,139,8,4
Alexandra,Onagraceae,Hydrophyllaceae,147,4,9
Jade,Asteraceae,Fabaceae,135,4,8
Sunny,Asteraceae,Brassicaceae,77,1,4
Latashia,Apiaceae,Aizoaceae,122,6,4
Elsbeth,Fagaceae,Cyperaceae,98,4,5
Aeriell,Hypnaceae,Dryopteridaceae,145,4,4
Stafani,Rosaceae,Nyctaginaceae,89,1,9
Faythe,Mycosphaerellaceae,Pottiaceae,139,4,9
Ainslie,Verrucariaceae,Malvaceae,73,1,6
Junie,Fabaceae,Ranunculaceae,129,1,4
Garrot,Rosaceae,Caryophyllaceae,101,2,7
Kale,Lamiaceae,Rosaceae,140,4,8
Tana,Lecanoraceae,Lecanoraceae,76,6,9
Kimberli,Cyperaceae,Violaceae,86,5,5
Claudina,Oleaceae,Fabaceae,111,1,7
Everett,Asteraceae,Xyridaceae,99,9,4
Ollie,Cucurbitaceae,Oleaceae,128,8,5
Nanice,Cuscutaceae,Parmeliaceae,111,6,4
Julienne,Polemoniaceae,Parmeliaceae,116,3,6
Orel,Asclepiadaceae,Orchidaceae,134,6,9
Gerry,Polemoniaceae,Verrucariaceae,87,5,8
Ally,Asteraceae,Lamiaceae,129,1,5
Junina,Scrophulariaceae,Poaceae,71,6,8
Fayette,Fabaceae,Amaranthaceae,127,7,8
Enrichetta,Fabaceae,Portulacaceae,150,1,6
Winny,Polygonaceae,Euphorbiaceae,72,4,7
Camilla,Poaceae,Rhamnaceae,140,6,5
Heywood,Asteraceae,Uncertain Ascomycota Family,90,5,5
Ronny,Orchidaceae,Rhizocarpaceae,97,3,7
Marve,Orchidaceae,Solanaceae,110,2,7
Jae,Cyperaceae,Poaceae,138,5,5
Carol-jean,Poaceae,Arthoniaceae,108,3,9
Dannel,Hymeneliaceae,Lauraceae,128,3,9
Cyndie,Boraginaceae,Ericaceae,130,9,8
Jeannette,Poaceae,Scrophulariaceae,108,4,6
Patty,Polygonaceae,Collemataceae,149,4,6
Larina,Poaceae,Campanulaceae,145,6,5
Bonnee,Eriocaulaceae,Fabaceae,117,2,4
Leontine,Arthoniaceae,Violaceae,130,7,4
Paco,Asteraceae,Orchidaceae,96,8,6
Bari,Vitaceae,Asteraceae,134,1,6
Meredith,Thelenellaceae,Cladoniaceae,84,8,8
Etan,Juncaceae,Lecideaceae,111,2,4
Marcos,Brassicaceae,Iridaceae,131,9,6
Simone,Physciaceae,Orchidaceae,74,5,6
Wyatt,Betulaceae,Salicaceae,101,5,7
Ric,Liliaceae,Primulaceae,148,1,8
Traci,Lamiaceae,Pottiaceae,127,9,7
Sonia,Urticaceae,Solanaceae,145,3,7
Curtis,Asclepiadaceae,Cyperaceae,98,6,6
Zelig,Asteraceae,Moraceae,140,5,5
Wally,Pteridaceae,Asteraceae,139,8,6
Horton,Saxifragaceae,Polemoniaceae,141,3,4
Aura,Violaceae,Apiaceae,109,6,6
Osgood,Scrophulariaceae,Boraginaceae,96,1,5
Zed,Juncaceae,Lycopodiaceae,138,9,5
Deeanne,Scrophulariaceae,Viscaceae,150,8,8
Fannie,Azollaceae,Flacourtiaceae,146,7,8
Valeria,Lecanoraceae,Oleaceae,131,6,7
Bondon,Bromeliaceae,Myrtaceae,96,2,4
Liza,Fabaceae,Fagaceae,87,6,9
Britney,Scrophulariaceae,Cactaceae,150,6,4
Alfie,Lamiaceae,Fabaceae,70,3,4
Any,Convolvulaceae,Bombacaceae,127,2,8
Finlay,Asteraceae,Crassulaceae,123,7,6
Dinah,Pedaliaceae,Asteraceae,143,7,7
Jenelle,Polygonaceae,Onagraceae,130,7,4
Erich,Polygonaceae,Thelypteridaceae,135,8,7
Ronnica,Asteraceae,Poaceae,75,9,5
Tomkin,Fabaceae,Fabaceae,143,8,6
Yanaton,Ranunculaceae,Rosaceae,88,1,7
Antonie,Fagaceae,Bacidiaceae,128,5,9
Sollie,Scrophulariaceae,Malvaceae,108,1,8
Melly,Chenopodiaceae,Primulaceae,118,8,7
Colin,Poaceae,Asteraceae,70,8,8
Merle,Amblystegiaceae,Clusiaceae,86,6,4
Rhodie,Asteraceae,Brassicaceae,120,6,7
Easter,Asteraceae,Cucurbitaceae,121,2,5
Jeno,Poaceae,Asteraceae,118,3,7
Codie,Fabaceae,Verbenaceae,138,3,6
Hannah,Asteraceae,Poaceae,130,9,5
Idell,Fabaceae,Collemataceae,121,2,8
Evangelina,Splachnaceae,Papaveraceae,138,5,4
Ellene,Poaceae,Cyatheaceae,122,2,6
Rhetta,Rosaceae,Andreaeaceae,105,9,5
Hugues,Juncaceae,Lamiaceae,132,2,7
Mayer,Hydrophyllaceae,Asclepiadaceae,143,8,9
Hugo,Fabaceae,Polemoniaceae,110,6,6
Kata,Verbenaceae,Rosaceae,149,9,4
Lucias,Poaceae,Parmeliaceae,136,8,7
Christina,Cyperaceae,Asteraceae,130,3,6
Elisabetta,Aizoaceae,Placynthiaceae,87,4,6
Aldo,Amaranthaceae,Fabaceae,85,7,7
Tierney,Amaranthaceae,Rosaceae,110,5,8
Josy,Orchidaceae,Lecanoraceae,94,5,5
Ignazio,Ranunculaceae,Asteraceae,120,9,4
Bartholemy,Cyperaceae,Boraginaceae,95,1,9
Noach,Brassicaceae,Hydrophyllaceae,147,3,8
Kerr,Stereophyllaceae,Brassicaceae,92,3,9
Elsa,Flacourtiaceae,Grossulariaceae,148,2,9
Diana,Asteraceae,Umbilicariaceae,120,4,4
Artemis,Lamiaceae,Lecanoraceae,150,9,8
Samuel,Orchidaceae,Dryopteridaceae,146,4,5
Kata,Solanaceae,Acarosporaceae,108,2,4
Wilton,Apiaceae,Scrophulariaceae,96,4,8
Rhona,Portulacaceae,Cyperaceae,82,7,9
Korey,Orobanchaceae,Lycopodiaceae,75,2,6
Conny,Campanulaceae,Cyperaceae,148,9,5
Elvira,Trypetheliaceae,Pedaliaceae,100,9,4
Farica,Fabaceae,Pteridaceae,142,2,6
Leela,Berberidaceae,Poaceae,112,5,6
Isaiah,Grimmiaceae,Mycoblastaceae,123,2,4
Bat,Fabaceae,Phytolaccaceae,81,9,4
Leia,Asteraceae,Fabaceae,116,7,7
Berry,Nyctaginaceae,Verrucariaceae,142,2,4
Alonso,Hymeneliaceae,Cyperaceae,94,5,7
Jacob,Rosaceae,Campanulaceae,97,4,4
Durand,Myrtaceae,Lamiaceae,127,9,7
Mirilla,Chenopodiaceae,Papaveraceae,119,3,9
Carlo,Hydrophyllaceae,Asteraceae,104,5,7
Mallorie,Hydrophyllaceae,Rosaceae,85,2,4
Randa,Rosaceae,Selaginellaceae,111,4,6
Madalyn,Hydrangeaceae,Myrtaceae,124,4,9
Deidre,Teloschistaceae,Brassicaceae,147,6,7
Xylia,Melastomataceae,Scrophulariaceae,112,8,4
Loralee,Bixaceae,Polemoniaceae,86,3,7
Oates,Crassulaceae,Schizaeaceae,99,1,6
Christalle,Rubiaceae,Asteraceae,85,2,4
Jules,Pinaceae,Malvaceae,112,9,9
Arabella,Cyperaceae,Malvaceae,110,7,4
Mohandas,Hydrophyllaceae,Erythroxylaceae,134,8,9
Iolanthe,Acanthaceae,Solanaceae,115,7,5
Brod,Malvaceae,Lemnaceae,85,7,5
Turner,Polemoniaceae,Malvaceae,95,4,5
Pauline,Aceraceae,Malvaceae,138,2,8
Teddy,Apiaceae,Brassicaceae,103,3,5
Wyn,Dicranaceae,Amaranthaceae,87,1,4
Dorothee,Apiaceae,Pottiaceae,147,8,7
Antonius,Polygalaceae,Uncertain Ascomycota Family,104,4,7
Kele,Poaceae,Cyatheaceae,138,5,4
Delcina,Verrucariaceae,Orchidaceae,105,1,5
Der,Fabaceae,Fabaceae,107,8,6
Ellary,Asteraceae,Pottiaceae,115,2,7
Yehudit,Asteraceae,Orchidaceae,149,6,6
Finn,Ericaceae,Dicranaceae,79,6,6
Daveta,Cyperaceae,Poaceae,78,5,5
Remy,Boraginaceae,Asteraceae,104,5,4
Britni,Primulaceae,Fabaceae,140,3,4
Monro,Poaceae,Cladoniaceae,113,3,7
Fredelia,Dioscoreaceae,Cactaceae,82,2,6
Wendie,Boraginaceae,Caryophyllaceae,97,7,7
Bernardina,Asteraceae,Rosaceae,130,3,4
Rogerio,Parmeliaceae,Parmeliaceae,147,4,5
Gabey,Moraceae,Poaceae,76,1,5
Winny,Poaceae,Liliaceae,95,4,5
Yalonda,Rosaceae,Polemoniaceae,98,6,7
Lise,Thelypteridaceae,Asclepiadaceae,98,4,6
Beverlee,Salicaceae,Dicranaceae,84,3,4
Griffin,Polypodiaceae,Lauraceae,79,4,5
Meridel,Asteraceae,Arecaceae,146,6,6
Alejandra,Campanulaceae,Violaceae,113,7,7
Kayley,Asteraceae,Boraginaceae,83,2,7
Waly,Asteraceae,Cladoniaceae,135,5,8
Yolanthe,Parmeliaceae,Solanaceae,119,7,9
Noll,Anacardiaceae,Apiaceae,94,5,5
Ches,Poaceae,Campanulaceae,125,8,9
Giustina,Lamiaceae,Saxifragaceae,99,4,7
Kaine,Polytrichaceae,Catillariaceae,87,4,8
Rivkah,Onagraceae,Fabaceae,116,3,5
Joletta,Poaceae,Ophioparmaceae,138,8,7
Kissee,Pottiaceae,Scrophulariaceae,141,3,5
Ronalda,Ericaceae,Ranunculaceae,150,7,5
Marsha,Asteraceae,Moraceae,149,1,9
Jo,Fabaceae,Linaceae,126,3,7
Idette,Cucurbitaceae,Teloschistaceae,86,4,9
Binni,Campanulaceae,Poaceae,136,9,6
Starla,Onagraceae,Poaceae,100,1,7
James,Boraginaceae,Saxifragaceae,149,6,9
Judith,Orchidaceae,Hippuridaceae,136,3,4
Kincaid,Liliaceae,Cladoniaceae,78,8,6
Hans,Phlyctidaceae,Fabaceae,95,7,5
Birdie,Ericaceae,Cyperaceae,137,3,8
Raquela,Fabaceae,Sphagnaceae,122,3,7
Fulton,Polygonaceae,Cupressaceae,81,1,9
Petey,Combretaceae,Asteraceae,82,1,5
Karil,Fabaceae,Bryaceae,95,9,6
Alvira,Bromeliaceae,Gentianaceae,149,9,6
Masha,Asteraceae,Leskeaceae,84,4,4
Lexy,Dryopteridaceae,Asclepiadaceae,73,8,8
Donelle,Polygonaceae,Fabaceae,93,4,6
Ethelin,Fabaceae,Collemataceae,98,1,5
Aubrey,Asteraceae,Bignoniaceae,104,4,5
Denice,Myrtaceae,Asclepiadaceae,144,3,8
Leonardo,Ranunculaceae,Blechnaceae,80,3,5
Jed,Commelinaceae,Cucurbitaceae,137,6,9
Gasparo,Cyperaceae,Polemoniaceae,87,6,7
Aloisia,Polygonaceae,Amaranthaceae,133,4,9
Herminia,Fabaceae,Liliaceae,123,4,6
Hildagard,Arthoniaceae,Dryopteridaceae,83,7,4
Rosamond,Piperaceae,Crassulaceae,140,1,7
Stanislas,Poaceae,Onagraceae,136,7,9
Farlee,Encalyptaceae,Pteridaceae,88,5,5
Filberto,Scrophulariaceae,Rosaceae,90,7,8
Anjanette,Amaranthaceae,Ranunculaceae,75,2,8
Warner,Cyperaceae,Scrophulariaceae,78,6,4
Paul,Brassicaceae,Boraginaceae,122,9,8
Phillida,Brassicaceae,Rosaceae,85,9,5
Carin,Lamiaceae,Poaceae,125,4,4
Kerstin,Brassicaceae,Verbenaceae,78,8,9
Jordanna,Parmeliaceae,Geraniaceae,133,1,6
Delinda,Convolvulaceae,Myrtaceae,118,5,8
Zechariah,Fabaceae,Fabaceae,134,5,6
Bar,Fabaceae,Annonaceae,106,6,4
Nollie,Orchidaceae,Crassulaceae,126,9,6
Merle,Apiaceae,Brassicaceae,74,9,6
Jeremie,Fabaceae,Cyperaceae,110,4,8
Johna,Asteraceae,Poaceae,142,7,4
Reuven,Boraginaceae,Melastomataceae,71,9,8
Quintina,Polygonaceae,Brassicaceae,89,3,5
Chrissie,Cactaceae,Asteraceae,127,3,4
Cad,Pteridaceae,Physciaceae,131,7,9
Caron,Loasaceae,Asteraceae,71,5,7
Amargo,Ranunculaceae,Poaceae,123,3,6
Pooh,Ophioglossaceae,Umbilicariaceae,150,5,8
